oppdrag_id;navn
5702-1;Lance
5704-1_1984;Lance
5704-4;Lance
5708-5;Geofjord
5802-1;Lance
5802-2;Lance
5802-4;Lance
58022;Lance
5804-2-NGU;Geofjord
5804-3;Lance
5804-4B;Lance
5804-4_1983;Lance
5900-1;Hydrograf
5900-2;Hydrograf
5903-1_1976;Hydrograf
5903-2-A_1976;Hydrograf
5903-2_1976;Hydrograf
5903-3;Hydrograf
5903-4;Hydrograf
6000-1;Hydrograf
6000-2;Hydrograf
6003-1_1974;Hydrograf
6003-2_1974;Hydrograf
6003-3;Hydrograf
6003-4_1973;Hydrograf
6003-4_1974;Hydrograf
6100-1;Hydrograf
6100-2;Hydrograf
6103-1;Hydrograf
6103-3;Hydrograf
6103-4;Hydrograf
6200-2;Hydrograf
6303-1;Hydrograf
6403-1;Hydrograf
6403-2;Hydrograf
6406-1;Hydrograf
6406-2;Hydrograf
6406-3;Hydrograf
6406-4;Hydrograf
6503-1;Hydrograf
6503-2;Hydrograf
6506-1;Hydrograf
6506-2;Hydrograf
6506-3;Hydrograf
6506-4A;Hydrograf
6506-4B;Hydrograf
6509-1_1992;Lance
650901_1979;Hydrograf
650903_1978;Hydrograf
650904_1977;Hydrograf
6712-1EM;Lance
6712-3EM;Lance
6812-2;Lance
7016-1_1980;Hydrograf
7016-2_1980;Hydrograf
7016-3_1980;Hydrograf
7020-4_1979;Hydrograf
7116-2_1979;Hydrograf
7116-3_1979;Hydrograf
7120-3_1978;Hydrograf
Andoeya;HU Sverdrup II
ArniFridriksson-2010;Arni Fridriksson
Blom-2004-03;Bintang
Blom-2004-08;Bintang
Blom-2004-13;Bintang
Blom-2004-14;Bintang
Blom_2002_001-EM1002;Nordkabel
Blom_2002_002-EM1002;Nordkabel
Blom_2002_003-EM1002;Nordkabel
Blom_2002_004-EM1002;Nordkabel
Blom_2002_05;LADS_Dash8
Blom_2002_06;LADS_Dash8
Blom_2002_07;LADS_Dash8
Blom_2002_08;LADS_Dash8
Blom_2002_09;LADS_Dash8
Blom_2002_10;LADS_Dash8
Blom_2002_11;LADS_Dash8
Blom_2002_12;LADS_Dash8
Blom_2002_13;LADS_Dash8
Blom_2002_area18-19-22-EM3000;Bintang
Blom_2002_area18-19-22_B-EM3000;Bintang
Blom_2002_area23-EM3000;Bintang
Blom_2002_area24-25-EM3000;Bintang
Blom_2002_area26-28-EM3000;Bintang
Blom_2002_area33-EM3000;Bintang
Blom_Nordland;LADS_Dash8
D.Hyd-3-3;Sjømåleren
D.Hyd-3-4;Sjømåleren
Eglacom_SK01;IPY Explora
FFI-96all;Odin Finder
Fedorov2016;Akademik Fedorov
Geocon_rev0198;Geocat
Geocon_rev0298;Geocat
Geocon_rev0398;Geocat
Geocon_rev0498;Geocat
Geocon_rev0598;Geocat
Geocon_rev0698;Geocat
Geocon_rev0798;Geocat
Geocon_rev0898;Geocat
Geocon_rev0998;Geocat
HelmerHanssen-2010-2011-Barentshavet;Helmer Hanssen
I-099;Mb-7
I-102;Mb-7
I-103_1960;Mb-7
I-104_1960;Mb-7
I-106;Mb-7
I-109;Mb-4
I-110;Mb-8
I-111;Mb-8
I-112;Mb-4
I-113;Mb-4
I-114;Mb-7
I-115;Mb-8
I-116;Mb-4
I-118;Mb-8
I-119;Mb-8
I-120;Mb-8
I-121;Mb-4
I-122;Mb-4
I-123A;Mb-7
I-124;Mb-7
I-125;Mb-4
I-127_1963;Mb-8
I-128_1964;Mb-8
I-129_1965;Mb-8
I-130_1965;Mb-8
I-131;Mb-4
I-131A;Oljevern 01
I-132;Mb-4
I-134_1971;Mb-4
I-135_1971;Mb-4
I-136A_1971;Mb-4
I-136B_1971;Mb-4
I-136C_1971;Mb-4
I-136D_1987;Mb-4
I-138;Mb-4
I-139;Mb-4
I-141_1972;Mb-7
I-142_1982;Mb-2
I-142_1987;Mb-4
I-145;Mb-3
I-146;Mb-3
I-146A;Mb-3
I-147;Mb-6
I-148;Mb-6
I-149+A;Oljevern 01
I-150+A;Oljevern 01
I-151;Oljevern 01
I-152;Oljevern 01
I-153;Oljevern 01
I-154A_1955;Mb-7
